bsn,courses
01A01,
01A02,
01A03,
01A04,
01B01,
01B02,
01B03,
01B04,
01B05,
01E03,
01E08,
01E10,
01E12,
01E13,
01E16,
01E18,
01E20,
01E21,
01E25,
01E26,
01E27,
01E28,
01E29,
01E30,
01E31,
01E32,
01G01,
01G02,
01G04,
01G05,
01G07,
01G08,
01G10,
01G11,
01G15,
01G16,
01G18,
01G19,
01G24,
01G25,
01G27,
01G28,
01G29,
01G31,
01G32,
01G35,
01G36,
01G37,
01G38,
01G39,
01G40,
01G41,
01G42,
01G43,
01G44,
01G45,
01G46,
01G47,
01K01,
01K02,
01K03,"Bildende Kunst/Kunst, Biologie, Deutsch, Englisch, Erdkunde, Mathematik, Politische Weltkunde, Russisch"
01K04,
01K06,
01K07,
01K08,
01K09,
01K10,
01P01,
01P03,"Bildende Kunst/Kunst, Biologie, Deutsch, Englisch, Erdkunde, Geschichte, Jüdische Religion / Philosophie, Mathematik, Russisch"
01P04,
01P05,
01P06,
01P07,
01P11,
01P13,
01P14,
01P16,
01P17,
01P18,"Bildende Kunst/Kunst, Englisch, Geschichte"
01P22,
01P23,
01P24,
01P25,
01P33,
01P34,
01P36,
01P37,
01P38,
01P39,
01P40,
01P42,
01P43,
01P44,
01P45,
01P46,
01S01,
01S05,
01S06,
01S07,
01Y02,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Erdkunde, Französisch, Geschichte, Mathematik, Musik, Physik, Politische Weltkunde, Spanisch"
01Y04,"Deutsch, Englisch, Mathematik, Musik"
01Y07,"Biologie, Chemie, Deutsch, Englisch, Französisch, Mathematik, Philosophie, Physik, Wirtschaftswissenschaft/-lehre"
01Y08,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Französisch, Geschichte, Mathematik, Physik, Politische Weltkunde"
01Y09,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Erdkunde, Französisch, Geschichte, Mathematik, Physik, Politische Weltkunde"
01Y11,
01Y12,
02A01,
02A02,
02A03,
02A04,
02A05,
02A06,
02A07,
02A08,
02B01,
02B02,
02B03,
02B04,"Wirtschaftsinformatik, Wirtschaftswissenschaft/-lehre"
02B05,
02E01,
02E03,
02E04,
02E05,
02E06,
02E07,
02E10,
02E11,
02E12,
02E14,
02E15,
02E17,
02E18,
02E20,
02E21,
02E23,
02E24,
02E26,
02E27,
02E28,
02E29,
02E30,
02E32,
02E33,
02E34,
02E35,
02E36,
02E37,
02E38,
02E39,
02G01,
02G02,
02G03,
02G04,
02G05,
02G07,
02G08,
02G09,
02G10,
02G11,
02G12,
02G13,
02G14,
02G15,
02G16,
02G18,
02G19,
02G20,
02G21,
02G22,
02G23,
02G24,
02G26,
02G27,
02G29,
02G31,
02G32,
02G33,
02G34,
02G35,
02K01,
02K02,"Bildende Kunst/Kunst, Biologie, Deutsch, Englisch, Mathematik, Politische Weltkunde, Türkisch"
02K03,
02K04,
02K05,
02K06,
02K07,
02K08,
02K09,
02K10,
02P02,
02P03,
02P04,
02P05,
02P07,
02P08,
02P09,
02P10,
02P11,
02P12,
02P13,
02P14,
02P16,
02P18,
02P19,
02P20,
02P22,
02P23,
02P25,
02P26,
02P27,
02P28,
02S01,
02S02,
02S03,"Bildende Kunst/Kunst, Biologie, Englisch, Mathematik"
02S04,
02S05,
02S06,
02Y01,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Erdkunde, Französisch, Geschichte, Informatik/Informationsverarbeitung, Mathematik, Physik, Politische Weltkunde"
02Y03,"Biologie, Chemie, Englisch, Erdkunde, Informatik/Informationsverarbeitung, Mathematik, Physik, Politische Weltkunde"
02Y04,"Biologie, Deutsch, Englisch, Mathematik, Musik"
02Y05,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Erdkunde, Französisch, Geschichte, Mathematik, Musik, Physik"
02Y06,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Französisch, Geschichte, Informatik/Informationsverarbeitung, Mathematik, Musik, Physik, Politische Weltkunde"
02Y07,"Bildende Kunst/Kunst, Biologie, Deutsch, Englisch, Erdkunde, Geschichte, Mathematik, Physik"
02Y08,"Bildende Kunst/Kunst, Biologie, Deutsch, Englisch, Französisch, Mathematik, Physik, Politische Weltkunde"
03A04,
03A05,
03B02,
03B03,
03B04,
03B06,
03B07,"Deutsch, Englisch, Mathematik, Wirtschaftsinformatik, Wirtschaftswissenschaft/-lehre"
03B08,Sport/ Leibesübungen
03B09,
03B09,"Biologie, Deutsch, Englisch, Gestaltungs- und Medientechnik, Mathematik"
03B09,
03E03,
03E04,
03E07,
03E08,
03E10,
03E11,
03E12,
03E14,
03E15,
03E16,
03E17,
03E18,
03E19,
03E20,
03G01,
03G02,
03G03,
03G04,
03G05,
03G06,
03G08,
03G09,
03G10,
03G11,
03G12,
03G13,
03G14,
03G15,
03G16,
03G17,
03G18,
03G20,
03G21,
03G22,
03G23,
03G24,
03G25,
03G26,
03G27,
03G28,
03G29,
03G32,
03G33,
03G34,
03G35,
03G36,
03G37,
03G38,
03G39,
03G40,
03G41,
03G43,
03G44,
03G45,
03G46,
03G47,
03K01,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Erdkunde, Geschichte, Mathematik, Politische Weltkunde, Portugiesisch"
03K02,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Erdkunde, Geschichte, Mathematik, Musik, Physik"
03K03,
03K04,
03K04,
03K04,
03K05,
03K06,
03K07,
03K08,
03K09,
03K10,
03K11,
03P02,
03P03,
03P03,
03P04,
03P04,
03P08,
03P08,
03P08,
03P10,
03P11,
03P12,
03P13,
03P14,
03P15,
03P17,
03P18,
03P20,
03P21,
03P22,
03P23,
03P24,
03P26,
03P27,
03P28,
03P28,
03P29,
03P29,
03P30,
03P31,
03P32,
03P33,
03P34,
03S01,
03S03,
03S06,
03S07,
03S08,
03S09,
03S10,
03Y03,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Erdkunde, Geschichte, Informatik/Informationsverarbeitung, Mathematik, Physik, Politische Weltkunde"
03Y04,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Erdkunde, Französisch, Geschichte, Mathematik, Physik, Politische Weltkunde, Spanisch"
03Y08,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Französisch, Geschichte, Italienisch, Mathematik, Philosophie, Physik, Politische Weltkunde"
03Y10,
03Y13,"Bildende Kunst/Kunst, Biologie, Deutsch, Englisch, Erdkunde, Geschichte, Mathematik, Musik, Spanisch"
03Y14,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Erdkunde, Geschichte, Mathematik, Musik, Physik, Politische Weltkunde, Spanisch"
03Y15,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Erdkunde, Geschichte, Mathematik, Musik, Physik, Politische Weltkunde"
03Y16,"Bildende Kunst/Kunst, Biologie, Deutsch, Englisch, Geschichte, Mathematik, Physik, Politische Weltkunde"
04A01,
04A02,
04A03,
04A04,
04A06,
04A07,
04A08,"Biologie, Deutsch, Englisch, Mathematik, Physik, Sport/ Leibesübungen"
04A09,
04B01,
04B01,
04B02,
04B02,
04B02,
04B02,"Biologie, Deutsch, Englisch, Mathematik, Recht, Wirtschaftswissenschaft/-lehre"
04B03,
04B03,
04B03,
04B03,
04B04,
04B04,
04B04,
04B05,
04B05,
04B05,
04B05,
04B05,
04B06,
04B06,
04B06,
04B07,
04B07,
04B07,
04B08,
04B08,
04E01,
04E02,
04E03,
04E04,
04E05,
04E07,
04E09,
04E10,
04E12,
04E13,
04E14,
04E15,
04E17,
04E20,
04E21,
04E22,
04E24,
04E25,
04E27,
04E28,
04E30,
04E31,
04E32,
04E33,
04E34,
04E36,
04E38,
04E40,
04E41,
04E42,
04E43,
04E44,
04E45,
04E46,
04E47,
04E48,
04E50,
04E51,
04E52,
04G01,
04G02,
04G04,
04G05,
04G06,
04G07,
04G08,
04G09,
04G11,
04G12,
04G13,
04G14,
04G15,
04G17,
04G18,
04G19,
04G20,
04G21,
04G22,
04G23,
04G24,
04G25,
04G26,
04G27,
04K02,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Mathematik, Musik, Physik, Politische Weltkunde, Russisch, Spanisch"
04K03,"Bildende Kunst/Kunst, Biologie, Deutsch, Englisch, Erdkunde, Geschichte, Mathematik"
04K04,"Englisch, Mathematik, Politische Weltkunde"
04K05,
04K06,
04K07,
04K08,
04K08,
04K08,
04P01,
04P02,
04P03,
04P04,
04P05,
04P07,
04P07,
04P08,
04P09,
04P10,
04P11,
04P12,
04P15,
04P18,
04P20,
04P20,
04P20,
04P21,
04P22,
04P23,
04P23,
04P24,"Biologie, Deutsch, Englisch, Französisch, Mathematik"
04P25,
04P25,
04P27,
04P34,
04P35,
04P36,
04P37,
04S01,
04S01,
04S02,
04S03,
04S04,
04S05,
04S05,
04S05,
04S06,
04S07,
04S07,
04S07,
04Y01,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Erdkunde, Französisch, Mathematik, Musik, Physik, Politische Weltkunde"
04Y02,"Biologie, Chemie, Deutsch, Englisch, Erdkunde, Französisch, Geschichte, Informatik/Informationsverarbeitung, Latein, Mathematik, Physik, Spanisch"
04Y03,"Biologie, Chemie, Deutsch, Englisch, Erdkunde, Französisch, Geschichte, Mathematik, Physik, Politische Weltkunde"
04Y04,"Bildende Kunst/Kunst, Biologie, Deutsch, Englisch, Erdkunde, Französisch, Mathematik, Musik, Physik, Politische Weltkunde, Spanisch"
04Y05,"Biologie, Chemie, Deutsch, Englisch, Erdkunde, Französisch, Geschichte, Informatik/Informationsverarbeitung, Mathematik, Physik"
04Y06,"Bildende Kunst/Kunst, Deutsch, Englisch, Erdkunde, Französisch, Geschichte, Griechisch, Latein, Mathematik, Musik, Politische Weltkunde"
04Y07,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Erdkunde, Französisch, Geschichte, Mathematik, Musik, Physik, Politische Weltkunde, Spanisch"
04Y08,"Bildende Kunst/Kunst, Chemie, Deutsch, Englisch, Französisch, Geschichte, Informatik/Informationsverarbeitung, Mathematik, Musik, Politische Weltkunde"
04Y09,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Französisch, Geschichte, Informatik/Informationsverarbeitung, Mathematik, Musik, Physik, Politische Weltkunde"
04Y10,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Erdkunde, Französisch, Geschichte, Mathematik, Physik, Politische Weltkunde"
04Y11,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Geschichte, Griechisch, Latein, Mathematik, Physik"
05A01,
05A02,
05A03,
05A04,
05B01,
05B01,
05B01,
05B01,
05B01,
05B02,
05B02,
05B02,
05B02,
05B02,
05E01,
05E02,
05E03,
05G01,
05G02,
05G03,
05G04,
05G05,
05G06,
05G07,
05G08,
05G09,
05G10,
05G11,
05G12,
05G13,
05G14,
05G15,
05G16,
05G17,
05G18,
05G19,
05G20,
05G21,
05G22,
05G23,
05G24,
05G25,
05G26,
05G27,
05G28,
05G29,
05K01,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Erdkunde, Französisch, Geschichte, Mathematik, Musik, Physik, Politische Weltkunde"
05K02,"Bildende Kunst/Kunst, Biologie, Deutsch, Englisch, Erdkunde, Mathematik, Musik, Politische Weltkunde"
05K03,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Geschichte, Mathematik, Musik, Physik, Politische Weltkunde"
05K04,"Bildende Kunst/Kunst, Biologie, Deutsch, Englisch, Geschichte, Informatik/Informationsverarbeitung, Mathematik, Musik, Physik"
05K05,
05K06,
05K07,
05K08,
05K09,
05P01,
05P02,
05P03,
05P04,
05P04,
05P05,
05P06,
05P08,
05P10,
05P10,
05P13,
05P13,
05P15,
05P16,
05P17,
05P18,
05P19,
05P20,
05S01,
05S02,
05S03,
05S04,
05Y01,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Französisch, Geschichte, Mathematik, Musik, Physik"
05Y02,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Französisch, Latein, Mathematik, Musik, Physik, Politische Weltkunde"
05Y03,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Französisch, Geschichte, Mathematik, Musik, Physik, Politische Weltkunde"
05Y04,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Erdkunde, Französisch, Geschichte, Mathematik, Physik"
05Y05,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Französisch, Mathematik, Musik, Physik, Politische Weltkunde"
06A01,
06A02,
06A03,
06A04,
06A05,
06A06,
06A07,
06A08,
06A09,
06B01,
06B01,
06B01,
06B01,
06B01,
06B02,
06B02,
06B02,
06B02,"Biologie, Deutsch, Englisch, Mathematik, Recht, Wirtschaftswissenschaft/-lehre"
06B02,
06B03,
06B03,
06B03,
06B03,
06B04,
06B04,
06B04,
06B04,
06E01,
06E02,
06E05,
06E07,
06E08,
06E13,
06E14,
06G01,
06G02,
06G03,
06G04,
06G05,
06G06,
06G07,
06G08,
06G09,
06G10,
06G11,
06G12,
06G14,
06G15,
06G16,
06G17,
06G18,
06G20,
06G21,
06G22,
06G23,
06G24,
06G25,
06G26,
06G27,
06G28,
06G29,
06G30,
06G31,
06G32,
06K01,
06K02,
06K03,"Bildende Kunst/Kunst, Biologie, Deutsch, Englisch, Erdkunde, Mathematik, Politische Weltkunde"
06K04,
06K06,
06K08,
06K09,
06K10,
06P01,
06P02,
06P04,"Bildende Kunst/Kunst, Biologie, Deutsch, Englisch, Französisch, Geschichte, Mathematik, Physik, Politische Weltkunde, Russisch"
06P05,
06P06,
06P06,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Französisch, Geschichte, Mathematik, Musik, Politische Weltkunde"
06P06,
06P07,
06P08,
06P08,
06P09,
06P10,
06P11,
06P12,
06P13,
06P14,
06P14,
06P14,
06P15,
06P15,
06P15,
06P18,
06P18,
06P20,
06P20,
06P21,
06S01,
06S01,
06S02,
06S02,
06S03,
06S04,
06S05,
06S05,
06S05,
06Y01,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Französisch, Geschichte, Latein, Mathematik, Musik, Physik, Politische Weltkunde"
06Y02,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Erdkunde, Französisch, Geschichte, Mathematik, Musik, Physik"
06Y03,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Französisch, Geschichte, Latein, Mathematik, Musik, Physik, Politische Weltkunde"
06Y04,"Bildende Kunst/Kunst, Biologie, Deutsch, Englisch, Erdkunde, Geschichte, Mathematik, Physik"
