bsn,courses
06Y05,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Erdkunde, Französisch, Geschichte, Mathematik, Musik, Physik, Spanisch"
06Y06,
06Y07,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Erdkunde, Französisch, Geschichte, Informatik/Informationsverarbeitung, Latein, Mathematik, Musik, Physik, Politische Weltkunde"
06Y08,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Erdkunde, Französisch, Geschichte, Mathematik, Physik, Recht"
06Y09,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Erdkunde, Französisch, Geschichte, Mathematik, Musik, Physik, Politische Weltkunde, Sozialwissenschaften"
06Y10,"Biologie, Chemie, Deutsch, Englisch, Erdkunde, Französisch, Geschichte, Latein, Mathematik, Physik, Politische Weltkunde"
06Y11,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Erdkunde, Französisch, Geschichte, Mathematik, Musik, Physik, Politische Weltkunde"
06Y12,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Erdkunde, Französisch, Geschichte, Mathematik, Musik, Physik, Spanisch"
06Y13,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Erdkunde, Geschichte, Latein, Mathematik, Musik, Physik, Politische Weltkunde"
07A01,
07A02,
07A04,
07A05,
07A06,
07B01,
07B01,
07B02,
07B02,
07B02,
07B02,
07B03,
07B03,
07B03,
07B03,
07B03,
07E01,
07E02,
07E05,
07E07,
07E08,
07E09,
07E11,
07E15,
07E16,
07E17,
07E18,
07E19,
07E20,
07E21,
07E24,
07E25,
07E26,
07G01,
07G02,
07G03,
07G05,
07G06,
07G07,
07G10,
07G12,
07G13,
07G14,
07G15,
07G16,
07G17,
07G18,
07G19,
07G20,
07G21,
07G22,
07G23,
07G24,
07G25,
07G26,
07G27,
07G28,
07G29,
07G30,
07G31,
07G32,
07G34,
07G35,
07G36,
07G37,
07K01,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Französisch, Geschichte, Mathematik, Musik, Physik, Politische Weltkunde"
07K02,"Bildende Kunst/Kunst, Biologie, Deutsch, Englisch, Erdkunde, Geschichte, Mathematik, Physik, Politische Weltkunde"
07K03,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Erdkunde, Französisch, Geschichte, Latein, Mathematik, Musik, Physik, Politische Weltkunde"
07K04,
07K05,
07K06,
07K07,
07K07,
07K09,
07K10,
07K11,
07K12,
07K13,
07P01,
07P02,
07P02,
07P03,
07P03,
07P03,
07P04,
07P05,
07P06,
07P07,
07P10,
07P10,
07P11,
07P12,
07P13,
07S01,
07S03,
07S04,
07Y01,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Geschichte, Informatik/Informationsverarbeitung, Mathematik, Musik, Physik, Wirtschaftsinformatik"
07Y02,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Erdkunde, Französisch, Geschichte, Informatik/Informationsverarbeitung, Mathematik, Musik, Physik"
07Y03,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Erdkunde, Französisch, Geschichte, Informatik/Informationsverarbeitung, Mathematik, Musik, Physik, Politische Weltkunde, Spanisch"
07Y04,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Erdkunde, Französisch, Geschichte, Informatik/Informationsverarbeitung, Italienisch, Latein, Mathematik, Musik, Physik, Politische Weltkunde"
07Y05,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Erdkunde, Französisch, Geschichte, Mathematik, Musik, Physik, Politische Weltkunde"
07Y06,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Erdkunde, Französisch, Geschichte, Mathematik, Musik, Physik, Politische Weltkunde, Spanisch"
07Y07,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Erdkunde, Französisch, Geschichte, Latein, Mathematik, Musik, Physik, Politische Weltkunde"
07Y08,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Erdkunde, Geschichte, Italienisch, Mathematik, Physik, Politische Weltkunde"
07Y09,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Erdkunde, Geschichte, Informatik/Informationsverarbeitung, Latein, Mathematik, Physik"
08A01,
08A02,
08A04,
08A05,
08B01,
08B02,
08B02,
08B02,
08B02,
08B02,
08B02,
08B04,
08B04,
08B04,
08B04,
08B04,"Deutsch, Englisch, Informatik/Informationsverarbeitung, Mathematik, Physik"
08B04,
08B05,
08B05,
08E02,
08E04,
08G01,
08G02,
08G03,
08G05,
08G06,
08G07,
08G08,
08G09,
08G10,
08G11,
08G12,
08G13,
08G14,
08G15,
08G16,
08G17,
08G18,
08G19,
08G20,
08G21,
08G22,
08G23,
08G24,
08G25,
08G26,
08G27,
08G28,
08G29,
08G30,
08G31,
08G32,
08G33,
08G34,
08G35,
08G36,
08G37,
08K01,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Erdkunde, Geschichte, Mathematik, Physik"
08K02,
08K03,"Biologie, Deutsch, Englisch, Mathematik, Physik, Politische Weltkunde"
08K04,
08K05,"Biologie, Chemie, Deutsch, Englisch, Erdkunde, Geschichte, Mathematik, Musik"
08K06,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Geschichte, Mathematik"
08K07,
08K08,
08K09,
08K10,
08K10,
08K11,
08K12,
08P01,
08P02,
08P03,"Bildende Kunst/Kunst, Biologie, Deutsch, Englisch, Evangelische Religionslehre, Geschichte, Mathematik, Politische Weltkunde"
08P04,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Erdkunde, Französisch, Geschichte, Mathematik, Musik, Politische Weltkunde"
08P04,
08P06,
08P08,
08P09,
08P10,
08P12,
08S01,
08S03,
08S04,
08S05,
08S06,
08S07,
08S08,
08S09,
08Y01,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Erdkunde, Französisch, Geschichte, Informatik/Informationsverarbeitung, Latein, Mathematik, Musik, Physik, Politische Weltkunde"
08Y02,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Erdkunde, Französisch, Geschichte, Mathematik, Mathematik, Politische Weltkunde, Spanisch"
08Y03,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Erdkunde, Französisch, Geschichte, Informatik/Informationsverarbeitung, Italienisch, Mathematik, Musik, Physik, Politische Weltkunde"
08Y04,"Bildende Kunst/Kunst, Biologie, Deutsch, Englisch, Erdkunde, Französisch, Geschichte, Latein, Mathematik, Physik, Politische Weltkunde"
08Y05,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Erdkunde, Französisch, Geschichte, Mathematik, Physik, Politische Weltkunde"
08Y06,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Erdkunde, Informatik/Informationsverarbeitung, Mathematik, Musik, Physik, Politische Weltkunde"
09A01,
09A02,
09A03,
09A04,
09A05,
09A06,
09A07,"Biologie, Deutsch, Englisch, Mathematik, Sport/ Leibesübungen"
09B03,
09B03,
09B03,
09B03,"Biologie, Deutsch, Englisch, Mathematik, Wirtschaftswissenschaft/-lehre"
09B03,
09E01,
09E05,
09E06,
09E07,
09G01,
09G03,
09G04,
09G05,
09G06,
09G07,
09G09,
09G10,
09G11,
09G13,
09G14,
09G15,
09G16,
09G17,
09G18,
09G19,
09G20,
09G21,
09G22,
09G23,
09G24,
09G25,
09G26,
09G27,
09G29,
09K01,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Geschichte, Mathematik, Physik"
09K02,"Bildende Kunst/Kunst, Biologie, Deutsch, Englisch, Erdkunde, Geschichte, Informatik/Informationsverarbeitung, Mathematik"
09K03,
09K04,
09K05,
09K06,
09K07,
09K08,
09K09,
09P01,
09P05,
09P06,
09P07,
09P08,
09P09,
09P09,
09P10,
09P11,
09P12,
09P13,
09P15,
09P16,
09S03,
09S04,
09S05,
09S06,
09Y03,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Erdkunde, Französisch, Geschichte, Informatik/Informationsverarbeitung, Latein, Mathematik, Physik"
09Y04,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Erdkunde, Geschichte, Mathematik, Physik, Spanisch"
09Y05,"Biologie, Chemie, Deutsch, Englisch, Französisch, Geschichte, Mathematik, Physik, Politische Weltkunde"
09Y06,
09Y10,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Erdkunde, Französisch, Geschichte, Mathematik, Physik, Politische Weltkunde"
09Y11,"Biologie, Chemie, Deutsch, Englisch, Erdkunde, Geschichte, Mathematik, Physik"
10A04,
10A06,
10A07,
10A08,
10A09,
10B01,
10B01,
10B01,
10B01,
10B02,
10B02,
10B02,
10B02,"Biologie, Deutsch, Englisch, Gesundheit, Mathematik"
10B02,
10E01,
10E02,
10E04,
10G01,
10G03,
10G04,
10G05,
10G06,
10G07,
10G08,
10G09,
10G10,
10G11,
10G12,
10G13,
10G14,
10G16,
10G17,
10G18,
10G19,
10G22,
10G25,
10G26,
10G28,
10G29,
10G30,
10G31,
10G32,
10G33,
10K01,"Bildende Kunst/Kunst, Biologie, Deutsch, Englisch, Erdkunde, Geschichte, Informatik/Informationsverarbeitung, Mathematik, Physik, Politische Weltkunde, Russisch"
10K02,
10K03,
10K03,
10K04,
10K05,
10K06,
10K07,
10K08,
10K09,
10K10,
10P03,
10P03,
10P05,
10P09,
10P10,
10P12,
10P13,
10P14,
10P15,
10S04,
10S07,
10S08,
10S10,
10S11,
10Y01,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Erdkunde, Französisch, Geschichte, Informatik/Informationsverarbeitung, Latein, Mathematik, Musik, Physik, Spanisch"
10Y02,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Erdkunde, Französisch, Geschichte, Informatik/Informationsverarbeitung, Mathematik, Physik"
10Y03,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Erdkunde, Französisch, Geschichte, Informatik/Informationsverarbeitung, Mathematik, Physik, Politische Weltkunde"
10Y08,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Erdkunde, Französisch, Geschichte, Mathematik, Musik"
10Y11,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Erdkunde, Geschichte, Latein, Mathematik, Musik, Physik, Politische Weltkunde, Spanisch"
11A02,
11A06,
11A07,
11A08,
11B01,
11B01,
11B01,
11B02,
11B02,
11B02,
11B02,
11B02,
11B03,
11B03,
11B03,
11B03,
11E05,
11E06,
11E08,
11E09,
11E11,
11E12,
11E13,
11E14,
11G01,
11G02,
11G03,
11G05,
11G06,
11G07,
11G08,
11G09,
11G10,
11G11,
11G12,
11G13,
11G14,
11G15,
11G16,
11G17,
11G18,
11G19,
11G21,
11G22,
11G23,
11G25,
11G26,
11G28,
11G29,
11K01,
11K02,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Geschichte, Mathematik, Physik, Russisch"
11K04,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Erdkunde, Geschichte, Mathematik"
11K05,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Erdkunde, Geschichte, Mathematik, Physik, Politische Weltkunde"
11K06,
11K07,
11K08,
11K09,
11K10,
11K11,
11P01,
11P02,
11P02,
11P02,
11P02,
11P03,
11P04,
11P06,
11P06,
11P06,
11P08,
11P08,
11P09,
11P14,
11P14,
11P15,
11S01,
11S02,
11S04,
11S05,
11S06,
11S07,
11S07,
11S08,
11S10,
11S12,
11Y02,"Biologie, Chemie, Deutsch, Englisch, Französisch, Geschichte, Mathematik, Physik"
11Y05,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Erdkunde, Französisch, Geschichte, Mathematik, Musik, Physik"
11Y09,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Erdkunde, Französisch, Geschichte, Latein, Mathematik, Musik, Physik, Politische Weltkunde"
11Y10,
11Y11,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Erdkunde, Französisch, Geschichte, Informatik/Informationsverarbeitung, Latein, Mathematik, Physik"
12A01,
12A02,
12A05,
12A06,
12A07,
12A08,
12A09,
12B01,
12B01,
12B01,
12B01,
12B02,
12B02,
12B02,
12B02,
12B02,"Biotechnologie, Ernährungs-/Lebensmittelwissenschaft, Gestaltungs- und Medientechnik"
12B02,
12B03,
12B03,
12B03,
12B03,
12B03,
12E01,
12E03,
12E04,
12E05,
12E06,
12G01,
12G02,
12G03,
12G04,
12G05,
12G06,
12G07,
12G09,
12G10,
12G11,
12G12,
12G13,
12G14,
12G15,
12G17,
12G18,
12G19,
12G20,
12G21,
12G22,
12G23,
12G24,
12G26,
12G27,
12G28,
12G29,
12G30,
12G31,
12G32,
12G33,
12G34,
12K01,
12K02,"Bildende Kunst/Kunst, Biologie, Deutsch, Englisch, Französisch, Geschichte, Mathematik, Musik, Physik, Politische Weltkunde"
12K03,
12K04,
12K05,
12K06,
12K07,
12K08,
12K09,
12K10,
12K11,
12P01,
12P02,
12P03,
12P03,
12P04,
12P04,
12P06,
12P07,
12P07,
12P10,
12P11,
12P13,
12P13,
12P13,
12P14,
12S01,
12S02,
12S03,
12S04,
12S05,
12S06,
12S06,
12S07,
12Y01,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Erdkunde, Französisch, Geschichte, Mathematik, Musik, Physik, Politische Weltkunde, Spanisch"
12Y02,
12Y03,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Erdkunde, Französisch, Geschichte, Informatik/Informationsverarbeitung, Latein, Mathematik, Musik, Physik, Politische Weltkunde, Wirtschaftswissenschaft/-lehre"
12Y04,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Erdkunde, Französisch, Geschichte, Informatik/Informationsverarbeitung, Mathematik, Musik, Physik, Politische Weltkunde"
12Y05,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Erdkunde, Französisch, Geschichte, Mathematik, Musik, Physik, Politische Weltkunde"
12Y06,
12Y07,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Französisch, Geschichte, Mathematik, Musik, Physik, Politische Weltkunde"
12Y08,"Bildende Kunst/Kunst, Biologie, Chemie, Deutsch, Englisch, Erdkunde, Mathematik, Physik, Politische Weltkunde, Wirtschaftswissenschaft/-lehre"
