"bsn","Holzwerkstatt","Textilwerkstatt","Metallwerkstatt","Werkstatt für Elektronik","Keramikwerkstatt","Werkstatt","Werkstätten","Weberei","Bäckerei","Lehrküche","Lernwerkstatt","Lernwerkstätten","Einsatz von Laptops","Einsatz von Whiteboards","Einsatz von Beamern","Computerraum","Computerräume","Mediothek","Internetcafé"
"01A01",,,,,,,,,,,,,,,,,,,
"01A02",,,,,,,,,,,,,,,,,,,
"01A03",,,,,,,,,,,,,,,,,,,
"01A04",,,,,,,,,,,,,,,,,,,
"01B01",,,,,,,,,,,,,,,,,,,
"01B01",,,,,,,,,,,,,,,,,,,
"01B01",,,,,,,,,,,,,,,,,,,
"01B01",,,,,,,,,,,,,,,,,,,
"01B01",,,,,,,,,,,,,,,,,,,
"01B01",,,,,,,,,,,,,,,,,,,
"01B02",,,,,,,,,,,,,,,,,,,
"01B03",,,,,,,,,,,,,,,,,,,
"01B03",,,,,,,,,,,,,,,,,,,
"01B03",,,,,,,,,,,,,,,,,,,
"01B03",,,,,,,,,,,,,,,,,,,
"01B03",,,,,,,,,,,,,,,,,,,
"01B04",,,,,,,,,,,,,,,,,,,
"01B04",,,,,,,,,,,,,,,,,,,
"01B04",,,,,,,,,,,,,,,,,,,
"01B05",,,,,,,,,,,,,,,,,,,
"01B05",,,,,,,,,,,,,,,,,,,
"01E03",,,,,,,,,,,,,,,,,,,
"01E08",,,,,,,,,,,,,,,,,,,
"01E10",,,,,,,,,,,,,,,,,,,
"01E12",,,,,,,,,,,,,,,,,,,
"01E13",,,,,,,,,,,,,,,,,,,
"01E16",,,,,,,,,,,,,,,,,,,
"01E18",,,,,,,,,,,,,,,,,1,,
"01E20",,,,,,,,,,,,,,,,,,,
"01E21",,,,,,,,,,,,,,,,,,,
"01E25",,,,,,,,,,,,,,,,,,,
"01E26",,,,,,,,,,,,,,,,,,,
"01E27",,,,,,,,,,,,,,,,,,,
"01E28",,,,,,,,,,,,,,,,,,,
"01E29",,,,,,,,,,,,,,,,,,,
"01E30",,,,,,,,,,,,,,,,,,,
"01E31",,,,,,,,,,,,,,,,,,,
"01E32",,,,,,,,,,,,,,,,,,,
"01G01",,,,,,,,,,,,,,,,,,,
"01G02",,,,,,,,,,,,,,,,,,,
"01G04",,,,,,,,,,,,,,,,,,,
"01G05",,,,,,,,,,,,,,,,,,,
"01G07",,,,,,,,,,,,,,,,,,,
"01G08",1,,1,1,1,1,,,,,,,,,,,,,1
"01G10",,,,,,,,,,,,,,,,,,,
"01G11",,,,,,1,,,,1,,,,,,,,,
"01G15",,,,,,,,,,,,,,,,,1,,
"01G16",,,,,,,,,,,,,,,,1,,,
"01G18",,,,,,,,,,,,,,,,1,,,
"01G19",,,,,,,,,,,,,,,,,,,
"01G24",,,,,,,,,,,,,,,,,,,
"01G25",,,,,,,,,,,,,,,,,,,
"01G27",,,,,,,,,,,,,,,,,,,
"01G28",,,,,,,,,,,,,,,,1,,,
"01G29",,,,,,,,,,,,,,,,,,,
"01G31",,,,,,,,,,,,,,,,,,,
"01G32",,,,,,,,,,,,,,,,1,,,
"01G35",,,,,,,,,,,,,,,,1,,,
"01G36",,,,,,,,,,,,,,,,,,,
"01G37",,,,,,,,,,,,,1,,,,,,
"01G38",,,,,,,,,,,,,,,,,,,
"01G39",,,,,,,,,,,,,,,,,,,
"01G40",,,,,,,,,,,,,,,,,,,
"01G41",,,,,,1,,,,,,,,,,1,,,
"01G42",,,,,,,,,,,,,,,,,,,
"01G43",,,,,,,,,,,,,,,,,,,
"01G44",,,,,,,,,,,,,,,,,,,
"01G45",,,,,,,,,,,,,,,,,,,
"01G46",,,,,,,,,,,,,1,,,,,,
"01G47",,,,,,,,,,1,,,,,,1,,,
"01K01",1,1,1,,,1,,,,1,,,,,,,,,1
"01K02",,1,,,1,1,,,,1,1,,,,,,1,,
"01K03",,1,,,,1,,,,,,,,,,,1,1,
"01K04",,,,,,,,,,,,,,,,,,,
"01K06",,,,,,,,,,,,,,1,,,1,,
"01K07",1,1,1,,,1,,,,,,,,,,,1,,
"01K08",,,,,,,,,,,,,,,,1,,,
"01K08",,,,,,,,,,,,,,,,,,,
"01K08",,,,,,,,,,,,,,,,,,,
"01K09",,,,,,,,,,,,,,,,,,,
"01K10",,,,,,,,,,,,,,,,,,,
"01P01",,,,,,,,,,,,,,,,,,,
"01P03",,,,,,,,,,,,,,,,,,,
"01P04",,,,,,,,,,,,,,,,,,,
"01P05",,,,,,,,,,,,,,,,,,,
"01P06",,,,,,,,,,,,,,,,,,,
"01P07",,,,,,,,,,,,,,,,,,,
"01P07",,,,,,,,,,,,,,,,,,,
"01P07",,,,,,,,,,,,,,,,,,,
"01P11",,,,,,,,,,,,,,,,,,,
"01P13",,,,,,,,,,,,,,,,,,,
"01P14",,,,,,,,,,,,,,,,,1,,
"01P14",,,,,,,,,,,,,,,,,1,,
"01P14",,,,,,,,,,,,,,,,,,,
"01P16",,,,,,,,,,,,,,,,,,,
"01P17",,,,,,,,,,,,,,,,,,,
"01P17",,,,,,,,,,,,,,,,,,,
"01P17",,,,,,,,,,,,,,,,,,,
"01P18",,,,,,,,,,,,,1,1,,,,,
"01P18",,,,,,,,,,,,,1,1,,,,,
"01P22",,,,,,,,,,,,,,,,,,,
"01P22",,,,,,,,,,,,,,,,,,,
"01P23",,,,,,,,,,,,,,,,,,,
"01P24",,,,,,,,,,,,,,,,,,,
"01P24",,,,,,,,,,,,,,,,,,,
"01P25",,,,,,,,,,,,,,,,,,,
"01P33",,,,,,,,,,,,,,,,,,,
"01P34",,,,,,,,,,,,,,,,,,,
"01P36",,,,,,,,,,,,,,,,,,,
"01P36",,,,,,,,,,,,,,,,,,,
"01P37",,,,,,,,,,,,,,,,,,,
"01P38",,,,,,,,,,,,,,,,,,,
"01P39",,,,,,,,,,,,,,,,,,,
"01P39",,,,,,,,,,,,,,,,,,,
"01P40",,,,,,,,,,,,,,,,,,,
"01P42",,,,,,,,,,,,,,,,,,,
"01P43",,,,,,,,,,,,,,,,,,,
"01P44",,,,,,,,,,,,,,,,,,,
"01P45",,,,,,,,,,,,,,,,,,,
"01P46",,,,,,,,,,,,,,,,,,,
"01S01",,,,,,,,,,,,,,,,,,,
"01S05",,,,,,,,,,,,,,,,,,,
"01S06",,,,,,,,,,,,,,,,,,,
"01S07",,,,,,,,,,,,,,,,,,,
"01Y02",,,,,,,,,,,,,1,,,,,,
"01Y04",,,,,,,,,,,,,,,,,,,
"01Y07",,,,,,,1,,,,,,,,,,1,,
"01Y08",,,,,,,,,,,,,1,,,,,,
"01Y09",,,,,,,,,,,,,,,,,1,,
"01Y11",,,,,,,,,,,,,,,,,1,,
"01Y12",,,,,,,,,,,,,,,,,,,
"02A01",,,,,,,,,,,,,,,,,,,
"02A02",,,,,,,,,,,,,,,,,,,
"02A03",,,,,,,,,,,,,,,,,,,
"02A04",,,,,,,,,,,,,,,,,,,
"02A05",,,,,,,,,,,,,,,,,,,
"02A06",,,,,,,,,,,,,,,,,,,
"02A07",,,,,,,,,,,,,,,,,,,
"02A08",,,,,,,,,,,,,,,,,,,
"02B01",1,,1,,,1,,,,,,,,,,,,,
"02B01",,,,,,,,,,,,,,,,,,,
"02B01",1,,1,,,1,,,,,,,,,,,,,
"02B02",,,,,,,,,,,,,,,,,,,
"02B02",,,,,,,,,,,,,,,,,,,
"02B02",,,,,,,,,,,,,,,,,,,
"02B03",,,,,,,,,,,,,,,,,,,
"02B03",,,,,,,,,,,,,,,,,,,
"02B03",,,,,,,,,,,,,,,,,,,
"02B04",,,,,,,,,,,,,,,,,,,
"02B04",,,,,,,,,,,,,,,,,,,
"02B04",,,,,,,,,,,,,,,,,,,
"02B04",,,,,,,,,,,,,,,,,,,
"02B04",,,,,,,,,,,,,,,,,,,
"02B04",,,,,,,,,,,,,,,,,,,
"02B05",,,,,1,1,,,,1,,,,,,,1,,
"02B05",,,,,1,1,,,,1,,,,,,,1,,
"02B05",,,,,1,1,,,,1,,,,,,,1,,
"02B05",,,,,,,,,,,,,,,,,,,
"02B05",,,,,1,1,,,,1,,,,,,,1,,
"02E01",,,,,,,,,,,,,,,,,,,
"02E03",,,,,,,,,,,,,,,,,,,
"02E04",,,,,,,,,,,,,,,,,,,
"02E05",,,,,,,,,,,,,,,,,,,
"02E06",,,,,,,,,,,,,,,,,,,
"02E07",,,,,,,,,,,,,,,,,,,
"02E10",,,,,,,,,,,,,,,,,,,
"02E11",,,,,,,,,,,,,,,,,,,
"02E12",,,,,,,,,,,,,,,,,,,
"02E14",,,,,,,,,,,,,,,,,,,
"02E15",,,,,,,,,,,,,,,,,,,
"02E17",,,,,,,,,,,,,,,,,,,
"02E18",,,,,,,,,,,,,,,,,,,
"02E20",,,,,,,,,,,,,,,,,,,
"02E21",,,,,,,,,,,,,,,,,,,
"02E23",,,,,,,,,,,,,,,,,,,
"02E24",,,,,,,,,,,,,,,,,,,
"02E26",,,,,,,,,,,,,,,,,,,
"02E27",,,,,,,,,,,,,,,,,,,
"02E28",,,,,,,,,,,,,,,,,,,
"02E29",,,,,,,,,,,,,,,,,,,
"02E30",,,,,,,,,,,,,,,,,,,
"02E32",,,,,,,,,,,,,,,,,,,
"02E33",,,,,,,,,,,,,,,,,,,
"02E34",,,,,,,,,,,,,,,,,,,
"02E35",,,,,,,,,,,,,,,,,,,
"02E36",,,,,,,,,,,,,,,,,,,
"02E37",,,,,,,,,,,,,,,,,,,
"02E38",,,,,,,,,,,,,,,,,,,
"02E39",,,,,,,,,,,,,,,,,,,
"02G01",,,,,,,,,,,,,,,,,,,
"02G02",,,,,,,,,,,,,,,,,,,
"02G03",,,,,,,,,,,,,,,,,,,
"02G04",,,,,,,,,,,,,,,,,,,
"02G05",,,,,,,,,,,,,,,,1,,,
"02G07",1,,,,,1,,,,1,,,,,,1,,,
"02G08",,,,,,,,,,,,,,,,1,,,
"02G09",,,,,,,,,,,,,,,,,,,
"02G10",,,,,,,,,,,,,,,,,,,
"02G11",,,,,,,,,,,,,,,,,,,
"02G12",,,,,,,,,,,,,1,,,,,,
"02G13",,,,,,,,,,,,,,,,,,,
"02G14",,,,,,,,,,,,,1,,,1,,,
"02G15",,,,,,,,,,,,,,,,,1,,
"02G16",,,,,,,,,,,,,,,,1,,,
"02G18",,,,,,,,,,,,,,,,,,,
"02G19",,,,,,,,,,,,,,,,,,,
"02G20",,,,,,,,,,,,,,,,1,,,
"02G21",,,,,,,,,,,,,,,,,,,
"02G22",,,,,,,,,,,,,,,,,,,
"02G23",,,,,,,,,,,,,,,,,,,
"02G24",,,,,,,,,,,,,1,,,,,,
"02G26",,,,,,,,,,,,,,1,,,1,,
"02G27",1,,,,1,1,,,,,,,,,,,,,
"02G29",,,,,,,,,,,,,,,,,,,
"02G31",,,,,1,1,,,,,,,,,,1,,,
"02G32",,,,,,,,,,,,,,,,1,,,
"02G33",,,,,,,,,,,,,,,,,,,
"02G34",,,,,,,,,,,,,,,,,,,
"02G35",,,,,,,,,,,,,,,,,,,
"02K01",1,1,1,,,1,,,,,,,,,,,,,
"02K02",,,,,,,,,,,,,,,,,,,
"02K03",,,,,,,,,,,,,,,,1,,,
"02K04",1,1,1,,,1,,,,1,,,,,,,1,,1
"02K05",1,1,1,,,1,,,,,,,,,,1,,,
"02K06",,,,,,,,,,,,,,,,,,,
"02K07",,,,,,,,,,,,,,,,,1,,
"02K08",1,1,1,,,1,,,,,,,1,,,,1,,
"02K09",1,1,,1,,1,,,,1,,,,,,,,,
"02K10",1,,1,,,1,,,,,,,,,,,1,,
"02P02",,,,,,,,,,,,,1,1,1,,,,
"02P02",,,,,,,,,,,,,,,,,,,
"02P03",,,,,,,,,,,,,,,,,,,
"02P04",,,,,,,,,,,,,,,,,,,
"02P05",,,,,,,,,,,,,,,,,,,
"02P05",,,,,,,,,,,,,,,,,,,
"02P07",,,,,,,,,,,,,,,,,,,
"02P07",,,,,,,,,,,,,,,,,,,
"02P08",,,,,,,,,,,,,,,,,,,
"02P09",,,,,,,,,,,,,,,,,,,
"02P10",,,,,,,,,,,,,,,,,,,
"02P11",,,,,,,,,,,,,,,,,,,
"02P12",,,,,,,,,,,,,,,,,,,
"02P13",,,,,,,,,,,,,,,,,,,
"02P14",,,,,,,,,,,,,,,,,,,
"02P16",,,,,,,,,,,,,,,,,,,
"02P18",,,,,,,,,,,,,,,,,,,
"02P19",,,,,,,,,,,,,,,,,,,
"02P20",,,,,,,,,,,,,,,,,,,
"02P22",,,,,,,,,,,,,,,,,,,
"02P23",,,,,,,,,,,,,,,,,,,
"02P25",,,,,,,,,,,,,,,,,,,
"02P26",,,,,,,,,,,,,,,,,,,
"02P27",,,,,,,,,,,,,,,,,,,
"02P28",,,,,,,,,,,,,,,,,,,
"02S01",,,,,,,,,,,,,,,,,,,
"02S01",,,,,,,,,,,,,,,,,,,
"02S01",,,,,,,,,,,,,,,,,,,
"02S02",,,,,,,,,,,,,,,,,,,
"02S03",,,,,,,,,,,,,,,,,,,
"02S04",,,,,,,,,,1,,,,,,1,,,
"02S05",1,1,1,,,1,,,,1,,,,,,,1,,
"02S06",,,,,,,,,,,,,,,,,,,
"02Y01",,,,,,,,,,,,,,,1,,1,,
"02Y03",,,,,,,,,,,,,,,,,1,,
"02Y04",,,,,,,,,,,,,,,,,1,,
"02Y05",,,,,,,,,,,,,,,,,,,
"02Y06",,,,,,,,,,,,,,,,,1,,
"02Y07",,,,,,,,,,,,,,,,,1,,
"02Y08",,,,,,,,,,,,,,,,,,,
"03A04",,,,,,,,,,,,,,,,,,,
"03A05",,,,,,,,,,,,,,,,,,,
"03B02",,,,,,,,,,,,,,,,,,,
"03B02",,,,,,,,,,,,,,,,,,,
"03B02",,,,,,,,,,,,,,,,,,,
"03B03",,,,,,,,,,,,,,,,,,,
"03B03",,,,,,,,,,,,,,,,,,,
"03B03",,,,,,,,,,,,,,,,,,,
"03B03",,,,,,,,,,,,,,,,,,,
"03B04",,,,,,,,,,,,,,,,,,,
"03B04",,,,,,,,,,,,,,,,,,,
"03B04",,,,,,,,,,,,,,,,,,,
"03B04",,,,,,,,,,,,,,,,,,,
"03B04",,,,,,,,,,,,,,,,,,,
"03B06",,,,,,,,,,,,,,,,,,,
"03B06",,,,,,,,,,,,,,,,,,,
"03B07",,,,,,,,,,,,,,,,,,,
"03B07",,,,,,,,,,,,,,,,,,,
"03B07",,,,,,,,,,,,,,,,,,,
"03B07",,,,,,,,,,,,,,,,,,,
"03B07",,,,,,,,,,,,,,,,,,,
"03B08",,,,,,,,,,,,,,,1,,,,
"03B08",,,,,,,,,,,,,,,1,,,,
"03B08",,,,,,,,,,,,,,,1,,,,
"03B09",,,,,,,,,,,,,,,,,1,,1
"03B09",,,,,,,,,,,,,,,,,1,,1
"03B09",,,,,,,,,,,,,,,,,1,,1
"03B09",,,,,,,,,,,,,,,,,1,,1
"03B09",,,,,,,,,,,,,,,,,1,,1
"03E03",,,,,,,,,,,,,,,,,,,
"03E04",,,,,,,,,,,,,,,,,,,
"03E07",,,,,,,,,,,,,,,,,,,
"03E08",,,,,,,,,,,,,,,,,,,
"03E10",,,,,,,,,,,,,,,,,,,
"03E11",,,,,,,,,,,,,,,,,,,
"03E12",,,,,,,,,,,,,,,,,,,
"03E14",,,,,,,,,,,,,,,,,,,
"03E15",,,,,,,,,,,,,,,,,,,
"03E16",,,,,,,,,,,,,,,,,,,
"03E17",,,,,,,,,,,,,,,,,,,
"03E18",,,,,,,,,,,,,,,,,,,
"03E19",,,,,,,,,,,,,,,,,,,
"03E20",,,,,,,,,,,,,,,,,,,
"03G01",,,,,,,,,,,,,,,,,,,
"03G02",,,,,,,,,,1,,,,,,,,,
"03G03",,,,,,,,,,,,,,,,,,,
"03G04",,,,,,,,,,,,,,,,,,,
"03G05",,,,,,,,,,,,,,,,,,,
"03G06",,,,,,,,,,,,,,,,,,,
"03G08",,,,,,1,,,,,1,,,,,,1,,
"03G09",,,,,,,,,,,,,,,,,,,
"03G10",,,,,,,,,,,,,,,,,1,,
"03G11",,,,,,,,,,,,,1,,,,1,,
"03G12",,,,,,,,,,,,,,,,,,,
"03G13",,,,,,1,,,,,,,,,,,1,,
"03G14",,,,,,1,,,,,,,,,,,,,
"03G15",,,,,,,,,,,,,,,,,,,
"03G16",,,,,,,,,,,,,,,,,,,
"03G17",,,,,,,,,,,,,,,,,,,
"03G18",,,,,,,,,,,,,,,,,,,
"03G20",,,,,,,,,,,,,,,,,,,
"03G21",,,,,,,,,,,,,,,,,,,
"03G22",,,,,,,,,,,,,,,,,,,
"03G23",,,,,,,,,,,,,,,,,,,
"03G24",,,,,,,,,,,,,,,,,1,,
"03G25",,,,,,,,,,,,,,,,,,,
"03G26",,,,,,,,,,,,,,,,,,,
"03G27",,,,,,,,,,,,,,,,,,,
"03G28",,,,,,,,,,,,,,,,,,,
"03G29",,,,,,,,,,,,,,,,,,,
"03G32",,,,,,,,,,,,,,,,1,,,
"03G33",,,,,,,,,,,,,,,,,,,
"03G34",,,,,,,,,,,,,,,,1,,,
"03G35",,,,,,,,,,,,,,,,1,,,
"03G36",,,,,,,,,,,,,,,,,,,
"03G37",,,,,,,,,,,,,,,,,,,
"03G38",,,,,,,,,,,,,,,,,,,
"03G39",,,,,,,,,,,,,,,,,,,
"03G40",,,,,,,1,,,1,,,,,,,1,,
"03G41",,,,,,,,,,,,,,,,1,,,
"03G43",,,,,,,,,,,,,,,,1,,,
"03G44",,,,,,,,,,,,,,,,,,,
"03G45",,,,,,,,,,,,,,,,,,,
"03G46",,,,,,,,,,,,,,,,,,,
"03G47",,,,,,,,,,,,,,,,,,,
"03K01",,,,,,,,,,,,,,,,,,,
"03K02",,,,,,,,,,,,,,,,1,,,
"03K03",,,,,,,,,,,,,,,,,,,
"03K04",1,,1,,,1,,,,1,,,,,,1,,,
"03K04",,,,,,,,,,,,,,,,,,,
"03K04",,,,,,,,,,,,,,,,,,,
"03K05",,,,,,,,,,,,,,,,,1,,
"03K06",,,,,,,,,,,,,,,,,1,,
"03K07",,,,,,,,,,,,,,,,,,,
"03K08",,,,,,,,,,,,,,,,,1,,
"03K09",,,,,,,,,,,,,,,,1,,,
"03K10",1,1,1,,,1,,,,1,,,,,,,1,,
"03K11",,,,,,,,,,,,,,,,,,,
"03P02",,,,,,,,,,,,,,,,,,,
"03P03",,,,,,,,,,,,,,,,,,,
"03P03",,,,,,,,,,,,,,,,,,,
"03P04",,,,,,,1,,,1,,,1,,1,,1,,
"03P04",,,,,,,1,,,1,,,1,,1,,1,,
"03P08",,,,,,,,,,,,,,,,,,,
"03P08",,,,,,,,,,,,,,,,,,,
"03P08",,,,,,,,,,,,,,,,,,,
"03P10",,,,,,,,,,,,,,,,,,,
"03P11",,,,,,,,,,,,,,,,,,,
"03P12",,,,,,,,,,,,,,,,,,,
"03P13",,,,,,,,,,,,,,,,,,,
"03P14",,,,,,,,,,,,,,,,,,,
"03P15",,,,,,,,,,,,,,,,,,,
"03P17",,,,,,,,,,,,,,,,,,,
"03P18",,,,,,,,,,,,,,,,,,,
"03P20",,,,,,,,,,,,,,,,,,,
"03P21",,,,,,,,,,,,,,,,,,,
"03P22",,,,,,,,,,,,,,,,,,,
"03P23",,,,,,,,,,,,,,,,,,,
"03P24",,,,,,,,,,,,,,,,,,,
"03P26",,,,,,,,,,,,,,,,,,,
"03P27",,,,,,,,,,,,,,,,,,,
"03P28",,,,,,,,,,,,,,,,,,,
"03P28",,,,,,,1,,,,,,,,,,1,1,
"03P29",,,,,,,,,,,,,,,,,,,
"03P29",,,,,,,,,,,,,,,,,,,
"03P30",,,,,,,,,,,,,,,,,,,
"03P31",,,,,,,,,,,,,,,,,,,
"03P32",,,,,,,,,,,,,,,,,,,
"03P33",,,,,,,,,,,,,,,,,,,
"03P34",,,,,,,,,,,,,,,,,,,
"03S01",,,,,,,,,,,,,,,,,,,
"03S03",,,,,,,,,,,,,,,,,,,
"03S06",,,,,,,1,,,1,,,,,,,1,,
"03S07",,,,,,,,,,,,,,,,,,,
"03S08",,,,,,,,,,,,,,,,,,,
"03S09",,,,,,,,,,,,,,,,,,,
"03S10",,,,,,,,,,,,,1,,,,1,,
"03Y04",,,,,,1,,,,,1,,,,,,1,,
"03Y08",,,,,,,,,,,,,,,,,1,,
"03Y10",,,,,,,,,,,,,,,,,1,,
"03Y13",,,,,,,,,,,,,,,,,1,,
"03Y14",,,,,,,,,,,,,,,,,1,,
"03Y15",,,,,,,,,,,,,,,,,1,,
"03Y16",,,,,,,,,,,,,,,,,1,,
"04A01",,,,,,,,,,,,,,,,,,,
"04A02",,,,,,,,,,,,,,,,,,,
"04A03",,,,,,,,,,,,,,,,,,,
"04A04",,,,,,,,,,,,,,,,,,,
"04A06",,,,,,,,,,,,,,,,,,,
"04A07",,,,,,,,,,,,,,,,,,,
"04A08",,,,,,,,,,,,,,,,,1,,
"04A09",,,,,,,,,,,,,,,,,,,
"04B01",,,,,,,1,,,1,,,,,,1,,,
"04B01",,,,,,,,,,,,,,,,,,,
"04B02",,,,,,,,,,,,,,,,,1,,
"04B02",,,,,,,,,,,,,,,,,1,,
"04B02",,,,,,,,,,,,,,,,,1,,
"04B02",,,,,,,,,,,,,,,,,1,,
"04B03",,,,,,,,,,,,,,,,,,,
"04B03",,,,,,,,,,,,,,,,,,,
"04B03",,,,,,,,,,,,,,,,,,,
